artist,unique_songs,total_streams,songs_rank_1,number_albums,number_countries,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
Bad Bunny,167,3.0334324202E10,35,117,69,0.7500388096005777,0.13302705736797102,0.24827731585329937,0.5063849573805906
Post Malone,58,2.7928301028E10,10,24,69,0.670886910356036,0.06946310648967464,0.28769907841587006,0.4362961226509095
J Balvin,154,2.6346951809E10,24,120,69,0.7371908831067588,0.1376744320395741,0.13846725900253812,0.645817098712696
Ed Sheeran,121,2.3771828457E10,9,64,69,0.691574786092771,0.06510894691408951,0.3502297242089777,0.5502464094531805
Drake,157,2.2300677661E10,18,41,69,0.7823723129578496,0.15547919869100552,0.13713276365037333,0.4010259417157045
Billie Eilish,47,1.7598907282E10,10,27,69,0.5804959255982526,0.15566970592343807,0.6870613543523055,0.3006247715160185
Ozuna,184,1.6911121052E10,19,130,61,0.7584884892845042,0.1041588393231228,0.19172638588900487,0.6254709802278472
Ariana Grande,83,1.6046461078E10,11,33,69,0.683815021738678,0.13537015605637423,0.2436281891264631,0.4439974900758254
Dua Lipa,41,1.5379322514E10,8,33,69,0.7252074669770534,0.07702311914713504,0.039991872810962815,0.5970033596105961
The Weeknd,70,1.5099718279E10,9,31,69,0.6231876290266034,0.08858040298034053,0.09705411393848996,0.4386925686240688
XXXTENTACION,82,1.3211956793E10,5,24,67,0.7725737316475075,0.132070106054333,0.4267785058505103,0.45903743112837814
Juice WRLD,106,1.3017156212E10,7,36,69,0.6086371512706592,0.16160432518000278,0.20530253054519987,0.34165509795911414
Justin Bieber,79,1.2907683573E10,12,34,69,0.6612633020724533,0.12278493160669605,0.29936224359192476,0.5167403745231938
Anuel AA,140,1.2823341296E10,16,91,57,0.7561519108459481,0.12076847325298033,0.32832322725116353,0.6387082633132027
Daddy Yankee,71,1.2325753108E10,8,71,65,0.7495876282683044,0.08349681768991421,0.17696905980056846,0.7051421338435065
Travis Scott,70,1.2308174361E10,8,38,69,0.7577295724561539,0.10582101753818761,0.0948822659554402,0.3410606582882086
Khalid,55,1.0760189492E10,4,34,66,0.6554624851812552,0.10875572081487467,0.2758473219410994,0.3226701425719118
Olivia Rodrigo,15,9.517707837E9,3,8,69,0.5071020003842276,0.08813247682628084,0.5759159886652879,0.30014143292829387
Taylor Swift,161,9.381762596E9,13,44,69,0.6329881257123654,0.07502188007997154,0.24921856485547186,0.4062258188680656
Sech,122,9.203840325E9,14,80,36,0.7301259584281806,0.18049106814823773,0.2558851882912024,0.6922284553332547
Maluma,112,9.160321568E9,7,72,66,0.7432248085860832,0.17012645175362576,0.2512873563346962,0.701816703485998
Camila Cabello,35,9.059431034E9,4,30,68,0.7091098941457782,0.0632906869506316,0.1499349522962286,0.5415946158805852
Shawn Mendes,56,9.051442956E9,4,29,69,0.69107545447578,0.09730784436686958,0.19034017335925227,0.6775940703888794
Rauw Alejandro,109,8.924040331E9,8,96,55,0.7591726240923553,0.1216606185720507,0.24644708133861765,0.6254778729642442
Lil Nas X,29,8.692425801E9,6,12,69,0.7665459494989576,0.12533656612759206,0.13724430846314092,0.6640285122532044
Myke Towers,144,8.650158548E9,10,121,26,0.7691878410677271,0.1549412728964844,0.23097661147891327,0.636255298447478
Farruko,162,8.636783617E9,9,138,67,0.7552167726336939,0.1313094252330288,0.19012286247312835,0.6252532710407798
KAROL G,60,8.628922999E9,6,47,63,0.7585921084518703,0.13316938334887743,0.2627649872586663,0.6122606428681597
The Chainsmokers,53,8.586442145E9,6,29,67,0.6248255223353003,0.05115329277443934,0.16777665418271387,0.4557717917232591
Nicky Jam,104,8.447358366E9,7,94,59,0.7147935185077061,0.12252228808708959,0.22381834090617,0.6735355086260294
Marshmello,47,8.385968571E9,3,44,69,0.6587056784707995,0.052767914318647684,0.14885920987448853,0.4681310835040983
Imagine Dragons,51,7.967565413E9,4,28,69,0.6518854720515266,0.07925897341526729,0.07902116383293364,0.4510599073313423
Doja Cat,28,7.78753196E9,3,14,69,0.7728604437079979,0.10673682569271904,0.22026528122986147,0.5865832757985775
BTS,173,7.440829937E9,20,59,69,0.6523130936899223,0.09357939825285538,0.07310584665837405,0.5760449840269153
Maroon 5,41,7.413860347E9,3,25,68,0.7738455600781361,0.05794972505959198,0.4226994225562993,0.5125507663049539
Cardi B,29,7.155058585E9,4,25,69,0.8571317693009388,0.2062887091593545,0.06669021728572692,0.522715953387378
Harry Styles,24,7.083410703E9,2,8,69,0.5712593476124171,0.042810324350889,0.17464564010156539,0.43117184863625313
Lewis Capaldi,26,6.807327709E9,3,17,69,0.5287940924932086,0.04323844476278045,0.7208995103803618,0.35561126552778455
Kendrick Lamar,36,6.247851117E9,2,21,67,0.7755238748325014,0.14287788129581433,0.10562572557736279,0.4741948057066312
Jhay Cortez,59,6.164799564E9,5,48,61,0.8025469143440914,0.08547616512467836,0.2285862701621618,0.4575396768298817
Swae Lee,33,5.941223996E9,2,28,68,0.748252457166144,0.07813637232925245,0.3534388784976406,0.8254628611289679
Calvin Harris,41,5.901597839E9,4,33,69,0.7816855499829893,0.06247203937621397,0.1317897092327787,0.6063974144269683
Lil Uzi Vert,95,5.787808878E9,5,32,64,0.7557384852071007,0.21074759053254424,0.07397421822485205,0.4435264378698234
Bruno Mars,42,5.78366032E9,4,18,68,0.7124737910352437,0.05194717955734965,0.11919200937296918,0.6373912883841321
Halsey,46,5.567385266E9,5,21,69,0.7195048466401308,0.04964594942636379,0.30033336244439024,0.5420835073753241
Sebastian Yatra,70,5.547515269E9,7,69,27,0.6842341703814034,0.07301798818923785,0.21944104607886283,0.6728655455088355
Pop Smoke,65,5.42047261E9,2,11,60,0.670171312181143,0.25961070331675584,0.24837494956114894,0.4441717748049911
