region,unique_songs,total_streams,songs_rank_1,number_albums,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
Global,6155,4.39286521095E11,72,3886,0.6958213262803378,0.11423840974928105,0.23563733937608916,0.5053254234105368
United States,7541,1.4211959646E11,137,4063,0.6984471577070109,0.13846453163541675,0.22742350009971046,0.45968714613766115
Brazil,3986,5.5866682131E10,88,2836,0.6827500843614469,0.1054060978921984,0.33028253255419054,0.6246022375673179
Mexico,3014,4.5595227592E10,56,2372,0.7071635865090774,0.09385086569696695,0.2584247632662057,0.6218251186077403
Germany,7888,3.993096426E10,181,5691,0.7081083678843574,0.14273221634974906,0.20239877798514436,0.5009536715093569
United Kingdom,6955,3.6406590975E10,85,4404,0.6681522343514661,0.1184664603802121,0.22231323011387447,0.5077757090749361
Spain,4684,2.7052109926E10,66,3734,0.7183461432133798,0.11035819993689652,0.23753154373532356,0.6022761517047655
Italy,5974,2.5591022543E10,159,3434,0.6874310456567734,0.12365100572988326,0.20288921716118205,0.5038009293965625
France,7211,2.3869817036E10,120,3487,0.731273387882495,0.14901909224878027,0.29364552997689014,0.517811025085684
Australia,4281,2.0127817799E10,63,2945,0.6722255967927577,0.10564581299151718,0.23449019611190572,0.48446341593399345
Argentina,3334,1.9531950412E10,68,2586,0.7157337516503478,0.10693674025642488,0.22657571269032148,0.6189896115196383
Canada,6315,1.9325376721E10,112,3672,0.6929573634319532,0.12606805357943635,0.22429042892780243,0.46971121940552246
Netherlands,7086,1.8821459837E10,112,4737,0.6940679244544808,0.12596350090248146,0.2400156224479886,0.5340428337924916
Philippines,3105,1.8785966097E10,88,2239,0.6213100902424792,0.07002018685798966,0.3412948386498288,0.4374480257962249
Chile,3784,1.7193532817E10,62,2754,0.7318134287168241,0.11642041107917345,0.23544512545352345,0.61468036343403
Indonesia,3263,1.5806777658E10,72,2496,0.6068483128192252,0.06233859354421051,0.4058978744703885,0.44234079849097063
Sweden,7687,1.4760251238E10,112,6202,0.6568586075472224,0.10763177840612516,0.26848840068241125,0.49266627830703547
Turkey,3820,1.2627454776E10,94,2898,0.6673493733908462,0.1014567607527257,0.26666845571880987,0.4838538392310643
Japan,4087,9.777389899E9,35,3254,0.6085249629145649,0.06753261105426211,0.1810201119673673,0.5497985455361024
India,2131,9.548677998E9,49,1656,0.6515415261906895,0.09003699515668662,0.3294948284154309,0.5031534688864361
Poland,5558,8.839127735E9,109,3755,0.6962162740199205,0.13820266520709518,0.253196698835452,0.49992652249676117
Norway,6972,8.681797207E9,94,5667,0.6509787937802994,0.09409648520187877,0.25010465557896683,0.46362095027451555
Peru,2872,7.886378537E9,54,2254,0.7280636496656109,0.10715911927732691,0.2295398663761639,0.6378019074878181
Denmark,5868,6.740740327E9,118,4357,0.6976743173215267,0.11439853743072251,0.23175002450237478,0.5126453803908005
Colombia,3431,6.046709365E9,53,2624,0.7228305263157903,0.10950663511605441,0.23364758181021594,0.6292966165875105
Finland,7750,5.042494232E9,152,5912,0.6729787998301762,0.09356758627045231,0.1852411913689333,0.5139602467542989
New Zealand,3811,4.090964854E9,82,2587,0.6779430490788276,0.10745140306620757,0.23750579822579637,0.49243608291150187
Malaysia,4255,3.993402234E9,84,3077,0.6246514466634471,0.07787588737991984,0.3024090609254207,0.4438812066357435
Ireland,5658,3.992683475E9,76,3798,0.6592030316748413,0.10006193180549662,0.23154949066377734,0.4945087419905785
Singapore,3956,3.956250856E9,80,2852,0.6236184378393631,0.07518466391713453,0.3110145787602829,0.4420404186804484
Belgium,6507,3.883104796E9,65,4018,0.6830881607160808,0.10860243124450579,0.2519392871923759,0.4960116405039981
Switzerland,8597,3.400001883E9,152,5639,0.6968582772682651,0.12400158790349318,0.22684352195715035,0.5010084550633076
Taiwan,7695,3.292379795E9,87,6178,0.5966886568998515,0.06568290640297794,0.3703429351689615,0.41048631886712944
Thailand,4417,3.269298369E9,96,3387,0.6503311134296043,0.07457880730128187,0.31931888566249084,0.5127834404820717
Portugal,4960,2.81584674E9,68,3380,0.6915337741285735,0.13078754089658146,0.2836175954346703,0.4955418574242491
Austria,7141,2.702694409E9,143,5321,0.6944120702692156,0.12590936956204996,0.21171115971506174,0.5045003381322456
Ecuador,2880,2.684153993E9,59,2327,0.7270622804422696,0.11004389647647146,0.23593466939056829,0.625962704906595
Costa Rica,3313,2.136387878E9,55,2265,0.7155006460777642,0.1101499856273319,0.24259049950491018,0.5915340598740223
Russia,2574,2.126223044E9,52,1628,0.7142861315609073,0.1360863848040432,0.20698349984986736,0.4719843621650069
Paraguay,2756,2.118867339E9,68,2222,0.7320507673618029,0.1171879476524697,0.2407547243051861,0.6254167001808877
Guatemala,2957,2.033136E9,56,2310,0.7224366240809666,0.10533832032313681,0.2470925990628119,0.6145920475174733
Czech Republic,5687,1.795639671E9,95,3596,0.6668872528924878,0.10359856726545891,0.20908094910337904,0.47865394589873467
Hong Kong,4841,1.685991169E9,104,3819,0.6017427483302307,0.0666128441595768,0.3749440258820844,0.4327727381806108
Vietnam,3088,1.387635959E9,97,2259,0.6520394110669182,0.07750893866443373,0.4105520533364532,0.445173960193247
Uruguay,3579,1.322830074E9,69,2821,0.724297480112147,0.11100309971279407,0.2167135553916596,0.6390269944838273
Hungary,5538,1.319014683E9,69,4039,0.6831545845942755,0.10402553498199525,0.20377429530738758,0.5031792499934612
Greece,4841,1.261763053E9,132,3087,0.7114808841303031,0.14510283476487124,0.23643568127633718,0.47880296305246306
Israel,3290,1.230538733E9,64,2446,0.659360371898141,0.08713320731637385,0.3205728475785633,0.47731854933965223
Bolivia,2698,1.170958554E9,60,2171,0.7268148867427351,0.11134093862217713,0.23645283436431586,0.6251799635486531
Dominican Republic,3979,1.151696092E9,84,2721,0.7428544286676233,0.12477539420909303,0.2559697521421668,0.59592583687092
Panama,3458,1.098536385E9,64,2417,0.7288385285100042,0.12607438374905303,0.2455057477970096,0.6097115740966944
El Salvador,2485,9.67293865E8,57,1890,0.7291246993775665,0.1119992050721757,0.23902693871142872,0.6064637597669181
South Africa,4777,7.95067321E8,99,2667,0.6933032715944795,0.10984724695107377,0.23847578835069053,0.4655514109565839
Honduras,2612,7.74545676E8,59,1915,0.7298275883516322,0.11374316807950059,0.24441456537846007,0.6061799130635318
Romania,4369,7.4628592E8,107,2770,0.7121210180206383,0.12966741429701753,0.22909182636410252,0.48881664365644567
Slovakia,4892,6.48070455E8,121,2833,0.6864681928458479,0.1283244027686418,0.2281573203039973,0.4776508606036601
Saudi Arabia,2551,5.69430094E8,42,1901,0.6622122276208992,0.10956070195495594,0.3338868120038869,0.5398073510918032
Iceland,4592,4.45549061E8,140,2485,0.6852853824349217,0.11563237918285718,0.2778136921402833,0.4820367360508553
Ukraine,2310,4.36676563E8,46,1576,0.7176839411782229,0.13578960010322477,0.21217390665978508,0.4781211426189322
Morocco,2395,4.16446941E8,69,1412,0.7146796858196064,0.14803574209913437,0.29672818482203134,0.5153609655336101
